Erros,Acertos,NINT1,NINT2,TAPR,TAPR1,Épocas,Acurácia,EMQ
59,250,7,5,0.5,0.7,300000,80.90614886731392%,0.0961185281256
50,247,5,5,0.5,0.7,300000,83.16498316498317%,0.105439692361
41,253,3,5,0.5,0.7,300000,86.05442176870748%,0.101271263039
46,250,4,5,0.5,0.7,300000,84.45945945945947%,0.101391828694
35,244,10,5,0.5,0.7,300000,87.45519713261649%,0.116824028238
45,248,8,5,0.5,0.7,300000,84.64163822525597%,0.102613038678
55,250,9,5,0.5,0.7,300000,81.9672131147541%,0.100412264014
57,242,10,6,0.5,0.7,300000,80.93645484949833%,0.101346311609
52,245,10,7,0.5,0.7,300000,82.49158249158249%,0.102653053831
44,245,10,8,0.5,0.7,300000,84.77508650519032%,0.107782496946
34,247,10,9,0.5,0.7,300000,87.90035587188612%,0.11507546207
45,250,10,10,0.5,0.7,300000,84.7457627118644%,0.106544813128
57,245,10,11,0.5,0.7,300000,81.12582781456953%,0.101561119422
27,244,10,9,0.6,0.7,300000,90.03690036900369%,0.126201558973
24,242,10,9,0.7,0.7,300000,90.97744360902256%,0.133595465776
34,231,10,9,0.8,0.7,300000,87.16981132075472%,0.136557880625
35,237,10,9,0.9,0.7,300000,87.13235294117648%,0.12868653207
33,253,10,9,0.7,0.3,300000,88.46153846153845%,0.0982222710878
26,254,10,9,0.7,0.4,300000,90.71428571428571%,0.103954354815
33,251,10,9,0.7,0.5,300000,88.38028169014085%,0.108895565867
39,240,10,9,0.7,0.6,300000,86.02150537634408%,0.119522057981
24,242,10,9,0.7,0.8,300000,90.97744360902256%,0.131513667856
40,245,10,9,0.7,0.9,300000,85.96491228070175%,0.113887530753
25,242,10,9,0.7,0.8,350000,90.63670411985018%,0.135027368975
25,242,10,9,0.7,0.8,400000,90.63670411985018%,0.136341136513
13,251,10,9,0.7,0.8,450000,95.07575757575758%,0.133809455382
9,250,10,9,0.7,0.8,500000,96.52509652509652%,0.1446126918
14,242,10,9,0.7,0.8,550000,94.53125%,0.153708672979
